	CL2001032010AA	Call	p-value	CL2001032041AA	Call	p-value
104_at	288.75	M	0.05	222.55	A	0.07
1040_s_at	62.84	A	0.68	49.69	A	0.73
1041_at	194.59	A	0.27	111.13	A	0.5
1042_at	557.22	P	0	289.89	P	0
1043_s_at	68.59	A	0.78	98.42	A	0.32
1044_s_at	30.41	A	0.25	155.07	A	0.22
1045_s_at	527.11	P	0	195.43	A	0.11
1046_at	286.29	P	0.01	261.8	P	0.03
1047_s_at	407.32	A	0.07	257.49	A	0.23
1048_at	207.18	A	0.07	224	M	0.04
1049_g_at	92.88	A	0.66	86.52	A	0.75
105_at	13.91	A	0.81	16.53	A	0.68
1050_at	1.84	A	1	6.46	A	0.95
1051_g_at	43.37	A	0.46	271.82	A	0.3
1052_s_at	6352.56	P	0	8842.62	P	0
1053_at	167.3	A	0.23	109.38	A	0.38
1054_at	107.41	P	0.03	54.93	A	0.3
1055_g_at	158.75	A	0.07	106.64	A	0.27
1056_s_at	188.01	A	0.2	89.02	A	0.08
1057_at	143.63	A	0.48	208.85	A	0.36
1058_at	118.22	A	0.6	73.83	A	0.64
1059_at	111.09	A	0.11	174.32	P	0.04
106_at	424.66	P	0.02	268.95	A	0.07
1060_g_at	48.61	A	0.4	142.83	A	0.14
1061_at	803.89	P	0.02	541.81	P	0.04
1062_g_at	450.45	P	0	541.94	P	0
1063_s_at	390.08	A	0.58	49.09	A	0.82
1064_at	171.48	P	0	175.91	P	0.01
1065_at	173.09	A	0.14	141.66	A	0.23
1066_at	37.12	A	0.92	24.7	A	0.78
1067_at	129.41	A	0.07	47.89	A	0.25
1068_g_at	218.93	A	0.66	96.48	A	0.7
1069_at	194.62	P	0	908.15	P	0.01
107_at	56.79	A	0.4	147.99	A	0.58
1070_at	141.68	P	0.04	208.93	P	0.03
1071_at	631.72	A	0.15	546.11	A	0.19
1072_g_at	578.73	A	0.27	676.86	A	0.07
1073_at	704.63	P	0	903.76	P	0
1074_at	809.34	P	0	292.5	P	0
1075_f_at	112.61	A	0.13	96.09	A	0.36
1076_at	111.45	M	0.04	32.92	A	0.56
1077_at	12.41	A	0.96	60.97	A	0.72
1078_at	13.47	A	0.92	10.97	A	0.92
1079_g_at	96.15	A	0.58	293.11	A	0.64
108_g_at	404.32	A	0.54	118.16	A	0.68
1080_s_at	10.72	A	0.99	9.46	A	0.95
1081_at	1584.82	P	0	1590.02	P	0
1082_at	147.39	A	0.34	94.08	A	0.54
1083_s_at	2890.55	P	0	1901.33	P	0
1084_at	168.27	A	0.5	31.87	A	0.66
1085_s_at	472.02	P	0	642.53	P	0
1086_at	40.13	A	0.88	51.6	A	0.9
1087_at	392.37	A	0.2	222.94	A	0.32
1088_at	44.25	A	0.77	20.78	A	0.6
1089_i_at	477.49	A	0.38	764.05	A	0.12
109_at	489.19	P	0.02	491.81	M	0.05
1090_f_at	23.63	A	0.66	67.12	A	0.46
1091_at	1154.89	A	0.4	767.53	A	0.22
1092_at	1399.95	A	0.36	552.79	A	0.4
1093_at	52.15	A	0.58	40.27	A	0.64
1094_g_at	210.43	A	0.72	263.93	A	0.68
1095_s_at	6.31	A	0.91	3	A	0.98
1096_g_at	462.18	A	0.15	457.95	A	0.18
1097_s_at	330.87	P	0	421.65	P	0.02
1098_at	52.39	A	0.73	12.81	A	0.81
1099_s_at	280.62	A	0.52	143.67	A	0.52
110_at	734.93	A	0.2	853.1	A	0.2
1100_at	959.99	M	0.05	625.41	A	0.08
1101_at	263.87	A	0.23	330.24	A	0.07
1102_s_at	306.02	M	0.05	178.74	A	0.09
1103_at	68.47	A	0.75	37.94	A	0.87
1104_s_at	1203.49	P	0.02	1058.72	P	0.02
1105_s_at	1626.59	P	0	3561.75	P	0
1106_s_at	851.28	P	0	1045.75	P	0
1107_s_at	6203.27	P	0	1719.45	P	0
1108_s_at	56.61	A	0.73	29.6	A	0.9
1109_s_at	398.5	A	0.42	72.31	A	0.75
111_at	625.98	P	0.04	736.24	P	0.03
1110_at	325.01	P	0.04	333.24	M	0.05
1111_at	31.8	A	0.75	63.67	A	0.58
1112_g_at	60.55	A	0.52	150.19	A	0.27
1113_at	652.6	P	0	619.6	P	0
1114_at	327.32	A	0.09	340.42	A	0.1
1115_at	247.39	A	0.12	94.3	A	0.56
1116_at	633.72	P	0.01	599.63	P	0.01
1117_at	241.04	A	0.15	60.41	A	0.27
1118_at	366.25	P	0.02	369.55	A	0.13
1119_at	494.37	P	0	613.99	P	0
112_g_at	45.2	A	0.42	4.67	A	0.81
1120_at	286.14	A	0.2	44.24	A	0.5
1121_g_at	268.46	A	0.38	174.55	A	0.42
1122_f_at	1053.38	P	0	753.61	P	0
1123_at	215.57	A	0.66	50.97	A	0.87
1124_at	581.69	A	0.13	775.79	P	0.03
1125_s_at	395.28	P	0.03	275.91	A	0.11
1126_s_at	1099.51	P	0	816.7	P	0
1127_at	1421.78	P	0.03	1578.14	P	0.02
1128_s_at	713.5	M	0.05	301.87	A	0.12
1129_at	44.35	A	0.97	34.82	A	0.99
113_i_at	93.02	A	0.3	37.13	A	0.68
1130_at	990.86	P	0.01	1001.29	P	0
1131_at	1024.19	P	0.04	1008.3	P	0.02
1132_s_at	300.01	A	0.44	193.84	A	0.4
1133_at	105.36	A	0.52	17.39	A	0.72
1134_at	1088.32	P	0.03	1241.99	P	0.01
1135_at	1703.48	P	0.01	1626.86	P	0.01
1136_at	390.96	A	0.18	567.12	A	0.11
1137_at	295.64	P	0.02	192.94	A	0.09
1138_at	1017.33	P	0.02	846.67	P	0.01
1139_at	122.79	A	0.19	20.64	A	0.9
114_r_at	15.3	A	0.96	14.08	A	0.93
1140_at	156.49	A	0.32	146.53	A	0.42
1141_at	305.09	A	0.07	312.64	A	0.07
1142_at	353.74	P	0.03	289.86	A	0.2
1143_s_at	168.46	A	0.2	149.95	A	0.06
1144_at	34.65	A	0.78	50.38	A	0.7
1145_g_at	131.03	A	0.42	48.15	A	0.86
1146_at	945.52	P	0	557.93	A	0.06
1147_at	299.99	P	0	312.66	P	0
1148_s_at	172.01	M	0.05	237.07	P	0.04
1149_at	22.03	A	0.89	18.32	A	0.99
115_at	588.6	A	0.09	578.63	P	0.03
1150_at	514.81	P	0	331.89	P	0.01
1151_at	2685.3	P	0	3120.61	P	0
1152_i_at	43.9	A	0.62	18.81	A	0.62
1153_f_at	253.03	A	0.68	219.34	A	0.64
1154_at	627.71	P	0	469.07	P	0.02
1155_at	627.9	P	0.04	800.01	A	0.07
1156_at	101.27	A	0.6	42.29	A	0.72
1157_s_at	77.27	A	0.58	130.03	A	0.48
1158_s_at	2488.9	P	0	3362.32	P	0
1159_at	64.59	A	0.38	48.01	A	0.72
116_at	156.8	A	0.27	119.03	A	0.19
1160_at	1152.12	P	0.01	691.88	P	0
1161_at	4726.5	P	0	4419.26	P	0
1162_g_at	605.97	P	0.02	466.25	P	0.01
1163_at	135.03	A	0.07	141.09	P	0.03
1164_at	182.61	P	0.01	152.12	A	0.19
1165_at	176.6	P	0.04	49.37	A	0.27
1166_at	1922.91	P	0	1796.98	P	0
1167_s_at	1014.78	A	0.2	1195.47	A	0.23
1168_at	357.15	M	0.05	51.42	A	0.46
1169_at	195.94	A	0.15	343.9	M	0.05
117_at	512.81	P	0.04	378.79	M	0.05
1170_at	201.87	M	0.05	367.41	P	0.03
1171_s_at	335.96	A	0.38	375.88	A	0.06
1172_at	35.23	A	0.93	35.22	A	0.96
1173_g_at	14210.4	P	0	10345.54	P	0
1174_at	20.96	A	0.84	10.64	A	0.92
1175_s_at	117.45	A	0.46	86.8	A	0.38
1176_at	142.2	A	0.19	111.4	A	0.27
1177_at	111.09	A	0.19	187.04	A	0.09
1178_at	95.56	A	0.38	27.04	A	0.64
1179_at	4823.49	P	0	3062.9	P	0
118_at	44.47	A	0.8	117.71	A	0.6
1180_g_at	9140.48	P	0	5160.62	P	0
1181_at	128.04	A	0.66	67.47	A	0.72
1182_at	108.14	A	0.07	47.78	A	0.15
1183_at	217.99	A	0.23	29.49	A	0.58
1184_at	2148.72	P	0	1712.97	P	0.01
1185_at	538.62	A	0.2	392.07	A	0.27
1186_at	84.14	A	0.54	237.86	P	0.02
1187_at	62.6	A	0.66	293.32	A	0.3
1188_g_at	35.86	A	0.84	43.78	A	0.64
1189_at	412.38	P	0.02	136.27	A	0.28
1190_at	164.45	P	0.04	121.69	A	0.15
1191_s_at	1135.17	P	0	778.03	P	0
1192_at	584.93	P	0	283.02	P	0
1193_at	23.74	A	0.99	20.76	A	0.96
1194_g_at	28.06	A	0.52	128.32	A	0.3
1195_s_at	121.7	A	0.22	88.87	A	0.1
1196_at	186.07	A	0.54	74.18	A	0.54
1197_at	1067.06	P	0	962.68	P	0
1198_at	179.44	P	0.01	80.62	A	0.18
1199_at	4839.82	P	0	4171.13	P	0
120_at	976.27	P	0	849.14	P	0
1200_at	41.22	A	0.84	43.7	A	0.81
1201_at	51.32	A	0.8	150.27	A	0.2
1202_g_at	147.95	A	0.64	346.33	A	0.4
1203_at	117.45	A	0.34	150.55	A	0.27
1204_at	40.42	A	0.99	39.68	A	0.98
1205_at	4.59	A	0.98	7.84	A	0.95
1206_at	60.97	A	0.62	62.41	A	0.72
1207_at	163.95	A	0.1	146.74	A	0.14
1208_at	31.04	A	0.96	35.69	A	0.82
1209_at	143.98	A	0.5	24.09	A	0.78
121_at	2153.03	P	0.01	2587.09	P	0
1210_s_at	50.83	A	0.96	41.78	A	0.97
1211_s_at	351	P	0	242.26	P	0
1212_at	282.77	A	0.28	111.83	A	0.52
1213_at	231.61	A	0.1	205.35	A	0.11
1214_s_at	9.95	A	0.95	10.61	A	0.94
1217_g_at	285.13	P	0.01	156.64	P	0.01
1218_at	695.06	A	0.11	335.15	A	0.3
1219_at	257.85	A	0.58	43.86	A	0.85
122_at	43.28	A	0.72	166.91	A	0.68
1220_g_at	794.02	P	0.01	302.92	A	0.15
1221_at	343.94	P	0.02	137.95	A	0.27
1222_at	138.27	P	0.01	55.4	M	0.05
1223_at	485.82	A	0.12	293.05	A	0.34
1224_at	588.08	P	0	241.63	A	0.16
1225_g_at	696.62	P	0.04	618.95	A	0.07
1226_at	99.68	A	0.11	28.06	A	0.85
1227_g_at	22.09	A	0.92	15.44	A	0.97
1228_s_at	566.28	P	0	445.8	P	0.01
1229_at	149.64	A	0.2	178.38	A	0.32
123_at	19.47	A	0.77	136.63	A	0.48
1230_g_at	420.43	M	0.05	441.86	A	0.06
1231_at	91.62	A	0.34	88.78	A	0.42
1232_s_at	127.54	P	0.04	169.18	M	0.05
1233_s_at	103.62	A	0.6	409.2	A	0.48
1234_at	111.91	A	0.46	25.28	A	0.66
1235_at	4992.06	P	0	5372.25	P	0
1236_s_at	314.68	A	0.32	345.75	A	0.6
1237_at	755.14	P	0	1528.41	P	0
1238_at	477.49	A	0.13	236.22	A	0.14
1239_s_at	32.11	A	0.73	39.9	A	0.73
1240_at	327.65	A	0.07	170.11	A	0.11
1241_at	2029.9	P	0	2908.25	P	0
1242_at	881.29	P	0.02	789.21	P	0.01
1243_at	1317.78	P	0	731.38	P	0
1244_at	656.96	P	0.02	479.45	A	0.08
1245_i_at	31.53	A	0.59	64.5	A	0.1
1246_at	105.91	A	0.62	137.36	A	0.52
1247_g_at	34.35	A	0.82	30.67	A	0.94
1248_at	713.38	P	0.01	707.79	P	0.01
1249_at	69.58	A	0.3	11.01	A	0.89
1250_at	216.3	P	0.03	285.73	P	0.01
1251_g_at	248.54	A	0.52	592.09	A	0.25
1252_at	626.82	P	0	1404.22	P	0
1253_at	330.22	M	0.05	335.84	A	0.07
1254_at	400.96	A	0.22	683.95	M	0.05
1255_g_at	234.31	A	0.07	27.05	A	0.3
1256_at	35.92	A	0.68	33.92	A	0.54
1257_s_at	904.2	A	0.1	657.76	A	0.1
1258_s_at	161.66	P	0.04	176.89	P	0.04
1259_at	407.46	A	0.27	401.48	A	0.27
126_s_at	2.52	A	1	3.35	A	0.93
1260_s_at	404.98	A	0.36	5.06	A	1
1261_i_at	430.59	M	0.06	77.84	A	0.71
1262_s_at	154.56	M	0.05	9.74	A	0.84
1263_at	317.55	A	0.2	274.04	A	0.08
1264_at	51.66	A	0.27	46.35	A	0.2
1265_g_at	67.23	A	0.34	55.89	A	0.23
1266_s_at	44.23	A	0.84	26.07	A	0.72
1267_at	562.23	P	0.02	286.88	A	0.11
1268_at	3718.92	P	0	3238.54	P	0
1269_at	150.08	P	0.04	246.52	P	0
1270_at	977.84	P	0.01	748.68	M	0.05
1271_g_at	1585.23	P	0.04	1655.9	P	0.02
1272_at	99.74	A	0.34	118.69	A	0.3
1273_r_at	526.5	A	0.2	358.98	A	0.23
1274_s_at	565.85	P	0.02	416.04	M	0.05
1275_at	50.15	A	0.56	84.64	A	0.15
1276_g_at	886.88	P	0.02	1459.08	P	0.02
1277_at	129.58	A	0.56	67.92	A	0.7
1278_at	739.1	P	0	888.45	P	0.01
1279_s_at	58.08	A	0.73	372.11	A	0.25
128_at	159.78	A	0.12	64.64	A	0.19
1280_i_at	589.56	A	0.16	1087.08	M	0.04
1281_f_at	40.21	A	0.77	51.79	A	0.57
1282_s_at	90.79	A	0.64	61.15	A	0.7
1283_at	10.37	A	0.96	6.89	A	0.99
1284_at	297.42	A	0.22	165.67	A	0.27
1285_at	60.58	A	0.56	24.71	A	0.44
1286_s_at	69.12	A	0.48	20.64	A	0.54
1287_at	631.06	P	0.01	592.15	P	0.01
1288_s_at	51429.63	P	0	33127.95	P	0
1289_at	702.81	A	0.28	655.11	M	0.05
129_g_at	275.22	A	0.12	473.3	A	0.07
1290_g_at	104.25	A	0.44	500.43	A	0.32
1291_s_at	618	A	0.15	1482.87	P	0.01
1292_at	57.31	A	0.8	290.84	A	0.4
1293_s_at	45	A	0.93	11.91	A	0.94
1294_at	1264.06	P	0.02	955.46	P	0
1295_at	882.82	P	0	2074.17	P	0
1296_at	497.81	A	0.15	431.73	A	0.15
1297_at	41.89	A	0.73	282.08	A	0.34
1298_at	7.74	A	0.97	11.4	A	0.96
1299_at	33.78	A	0.78	7.14	A	0.91
130_s_at	465.92	A	0.6	261.69	A	0.52
1300_at	113.28	A	0.16	81.69	A	0.09
1303_at	85.44	A	0.75	122.02	A	0.52
1304_at	86.38	A	0.52	21.73	A	0.93
1305_s_at	279.44	A	0.54	340.39	A	0.32
1306_at	1585.19	A	0.07	1204.34	A	0.07
1307_at	187.4	P	0.01	136.38	P	0
1308_g_at	373.74	P	0.01	260.73	A	0.11
1309_at	2232.04	P	0	1793.71	P	0
131_at	396.69	P	0.01	166.29	A	0.1
1310_at	2611.57	P	0	2341.58	P	0
1311_at	2291.54	P	0	1554.45	P	0
1312_at	2701.75	P	0	1961.58	P	0
1313_at	752.18	P	0	524.45	P	0
1314_at	779.31	P	0	733.54	P	0
1315_at	20954.8	P	0	16949.31	P	0
1316_at	277.44	P	0.02	353.94	P	0.01
1317_at	365.14	A	0.2	201.42	A	0.16
1318_at	494.49	P	0.01	341.63	A	0.09
1319_at	242.55	A	0.13	465.71	P	0.01
1320_at	326.79	A	0.27	37.58	A	0.68
1321_s_at	471.54	A	0.2	307.95	A	0.34
1322_at	168.43	A	0.36	201.45	A	0.15
1323_at	11143.02	P	0	9190.2	P	0
1324_at	69.14	A	0.73	260.68	A	0.38
1325_at	318.9	P	0.03	366.05	P	0
1326_at	550.13	P	0	502.78	P	0
1327_s_at	319.97	P	0.01	337.63	A	0.07
1328_at	56.12	A	0.23	116.27	P	0.03
1329_s_at	36.79	A	0.86	217.61	A	0.25
133_at	3799.85	P	0	2363.38	P	0
1330_at	151.09	A	0.81	77.71	A	0.91
1331_s_at	308.56	A	0.25	326.32	A	0.2
1332_f_at	365.1	A	0.27	167.37	A	0.42
1333_f_at	461.34	A	0.34	223.04	A	0.54
1334_s_at	64.47	A	0.87	738.63	A	0.15
1335_at	63.22	A	0.95	25.13	A	0.99
1336_s_at	374.1	P	0.01	296.55	P	0.03
1337_s_at	683.47	P	0.04	241.23	A	0.12
1338_s_at	112.99	A	0.4	19.66	A	0.72
1339_s_at	403.25	P	0.01	379.81	M	0.05
134_at	89.6	A	0.64	33.82	A	0.77
1340_s_at	22.65	A	0.88	20.87	A	0.84
1341_at	1107.95	P	0	291.98	P	0.01
1342_g_at	112.3	P	0.03	7.81	A	0.78
1343_s_at	73.59	A	0.3	48.73	A	0.6
1344_at	39.15	A	0.91	27.85	A	0.95
1345_s_at	43.2	A	0.82	49.89	A	0.7
1346_at	595.42	A	0.34	573.82	A	0.28
1347_at	1195.93	P	0.04	1194.46	A	0.08
1348_s_at	132.85	A	0.28	163.23	A	0.2
1349_at	8.18	A	0.98	14.92	A	0.89
135_g_at	127.76	A	0.5	41.95	A	0.56
1350_at	61.6	A	0.44	26.65	A	0.58
1351_at	595.99	A	0.09	445.35	A	0.07
1352_at	379.25	A	0.36	453.37	A	0.27
1353_g_at	458.77	A	0.1	243.29	A	0.25
1354_at	173.35	A	0.06	126.79	A	0.13
1355_g_at	214.18	A	0.06	165.3	M	0.04
1356_at	456.65	P	0.02	582.41	P	0
1357_at	611.1	P	0	662.5	P	0
1358_s_at	1372.2	A	0.07	751.71	A	0.06
1359_at	159.35	A	0.44	38.42	A	0.58
136_at	314.85	A	0.4	425.56	A	0.32
1360_at	36.47	A	0.81	4.94	A	0.92
1361_at	206.71	P	0.01	273.38	P	0
1362_s_at	454.31	P	0.01	396.67	P	0.01
1363_at	186.86	A	0.15	99.03	A	0.48
1364_at	59.11	A	0.56	11.67	A	0.95
1365_at	201.4	A	0.62	191.26	A	0.52
1366_i_at	13606.4	P	0	22780.78	P	0
1367_f_at	18228.38	P	0	14702.79	P	0
1368_at	1475.28	P	0	3689.69	P	0
1369_s_at	63.75	A	0.84	184.36	A	0.62
137_at	48.82	A	0.84	34.65	A	0.73
1370_at	1846.42	P	0	1477.51	P	0
1371_s_at	2549.54	P	0	2122.05	P	0
1372_at	135.58	A	0.16	177.7	A	0.19
1373_at	252.77	A	0.07	260.2	P	0.03
1374_g_at	577.56	A	0.6	599.34	A	0.58
1375_s_at	1621.35	P	0	712.55	P	0
1376_at	92.12	A	0.78	68.87	A	0.81
1377_at	536.65	P	0	849.28	P	0
1378_g_at	528.01	P	0.04	948.73	P	0.01
1379_at	471.29	A	0.07	247.56	M	0.05
138_at	495.69	A	0.06	480.79	A	0.1
1380_at	136.62	P	0.01	140.32	P	0.01
1381_at	46.82	A	0.84	12.23	A	0.98
1382_at	187.3	M	0.05	62.44	A	0.32
1383_at	909.87	P	0.01	1123.48	P	0
1384_at	41.85	A	0.32	9.42	A	0.8
1385_at	2283.76	P	0	1303.38	P	0
1386_at	389.98	P	0.02	364.01	P	0.03
1387_at	38.43	A	0.97	18.8	A	0.98
1388_g_at	201.15	P	0.01	126.54	P	0
1389_at	529.66	A	0.12	1018.87	P	0.04
139_at	45.89	A	0.81	35.9	A	0.68
1390_s_at	219.42	P	0.01	192.68	A	0.07
1391_s_at	51.44	A	0.81	91.04	A	0.68
1392_at	2109.97	A	0.11	2871.24	A	0.09
1393_at	24.91	A	0.9	33.76	A	0.73
1394_at	2913.89	P	0.01	3848.37	P	0
1395_at	4562	P	0	4302.24	P	0
1396_at	1424.41	P	0	3667.3	P	0
1397_at	687.96	M	0.05	398.8	A	0.08
1398_g_at	1581.64	P	0.01	1977.55	P	0
1399_at	1653.46	P	0	1090.95	P	0
140_s_at	591.54	P	0	625.72	P	0
1400_at	83.75	A	0.64	324.91	A	0.38
1401_g_at	136.64	A	0.25	53.29	A	0.38
1402_at	1777.55	P	0	1380.06	P	0
1403_s_at	1529	P	0	1879.47	P	0
1404_r_at	22.3	A	0.38	25.3	A	0.54
1405_i_at	446.55	P	0	571.97	P	0
1406_at	136.83	A	0.38	115.57	A	0.19
1407_g_at	51.67	A	0.54	95.91	A	0.15
1408_at	8.84	A	0.87	137.93	A	0.42
1409_at	454.6	M	0.05	904.66	P	0.02
141_s_at	324.47	A	0.36	64.68	A	0.58
1410_at	92.28	A	0.38	92.39	A	0.42
1411_at	401.14	A	0.07	494.84	A	0.27
1412_g_at	41.55	A	0.9	29.68	A	0.88
1413_at	5.04	A	0.96	8.96	A	0.89
1414_at	99.64	A	0.84	11.14	A	1
1415_at	1577.57	P	0.04	1886.07	P	0.02
1416_g_at	18.93	A	0.95	54.67	A	0.64
1417_at	43.89	A	0.77	7.56	A	0.88
1418_at	38.82	A	0.93	28.31	A	0.97
1419_g_at	383.71	A	0.32	468.37	A	0.22
142_at	15.59	A	0.75	18.99	A	0.77
1420_s_at	5869.33	P	0	5631.06	P	0
1421_at	57.81	A	0.6	8.28	A	0.95
1422_g_at	129.09	A	0.16	139.18	A	0.12
1423_at	186.57	A	0.07	22.19	A	0.73
1424_s_at	7635.32	P	0	7868.37	P	0
1425_at	8.21	A	0.99	15.07	A	0.93
1426_at	2358.83	P	0	2086.94	P	0
1427_g_at	555.63	P	0	561.79	P	0
1428_at	28.49	A	0.82	36.19	A	0.88
143_s_at	175.47	M	0.05	103.46	A	0.19
1430_at	50.55	A	0.84	23.79	A	0.73
1431_at	18.22	A	0.4	131.74	A	0.14
1432_s_at	762.08	A	0.28	857.16	A	0.22
1433_g_at	278.19	A	0.22	271.66	A	0.3
1434_at	150.73	P	0.01	108.41	P	0.04
1435_f_at	59.62	A	0.62	30.61	A	0.56
1436_at	45.85	A	0.68	28.93	A	0.68
1437_at	24.65	A	0.84	53.51	A	0.46
1438_at	258.86	A	0.18	297.37	A	0.34
1439_s_at	667.06	P	0	630.29	P	0.01
144_at	202.74	A	0.42	253.91	A	0.3
1440_s_at	198.69	P	0	222.85	M	0.05
1441_s_at	149.29	P	0.01	31.38	A	0.48
1442_at	458.92	A	0.12	520	A	0.09
1443_at	78.11	A	0.64	36.69	A	0.7
1444_at	676.93	M	0.05	738.31	M	0.05
1445_at	588.2	P	0.01	550.46	P	0.01
1446_at	951.54	P	0	736.2	P	0
1447_at	2653.84	P	0	2122.13	P	0
1448_at	1224.68	P	0	756.08	P	0
1449_at	1478.35	P	0	790.44	P	0
145_s_at	300.89	A	0.14	226.91	A	0.19
1450_g_at	1028.4	P	0	854.41	P	0
1451_s_at	448.57	P	0	706.15	P	0
1452_at	680.98	P	0	897.21	P	0
1453_at	506.75	P	0	433.31	P	0
1454_at	421.32	A	0.32	411.66	A	0.3
1455_f_at	171.58	P	0.01	204.31	A	0.2
1456_s_at	817.03	P	0	941.37	P	0
1457_at	369.98	P	0	180.26	P	0.04
1458_at	330.59	A	0.44	396.46	A	0.28
1459_at	251.52	A	0.1	213.32	A	0.1
146_at	672.23	P	0	390.12	A	0.22
1460_g_at	563.36	P	0.03	375.43	P	0.01
1461_at	5308.12	P	0	10836.4	P	0
1462_s_at	54.3	A	0.99	55.84	A	0.96
1463_at	996.27	P	0	609.8	P	0
1464_at	473.79	A	0.07	308.98	A	0.13
1465_s_at	64.63	A	0.42	4.34	A	0.99
1466_s_at	178.76	A	0.36	209.46	A	0.27
1467_at	172.88	P	0	291.03	P	0
1468_at	567.36	P	0.02	490.64	P	0.01
1469_at	1710.9	A	0.12	1590.13	A	0.25
147_at	485.54	P	0	464.22	M	0.04
1470_at	205.02	A	0.56	446.85	A	0.5
1471_at	23.31	A	0.81	28.33	A	0.8
1472_g_at	152.56	A	0.34	90.18	A	0.46
1473_s_at	43.51	A	0.56	30.12	A	0.72
1474_s_at	117.72	A	0.19	97.13	A	0.25
1475_s_at	51.84	A	0.75	54.78	A	0.82
1476_s_at	238.27	A	0.27	372.99	A	0.2
1477_s_at	102.58	A	0.62	106.1	A	0.82
1478_at	92.73	P	0.04	352.71	P	0
1479_g_at	21.88	A	0.52	185.66	A	0.07
148_at	298.27	P	0.03	369.69	P	0.02
1480_at	311.25	P	0.02	232.33	A	0.07
1481_at	46.19	A	0.36	101.48	A	0.15
1482_g_at	15.85	A	0.81	85.11	A	0.34
1483_at	618.3	A	0.2	673.43	A	0.11
1484_at	80.37	A	0.27	76.42	A	0.15
1485_at	2.55	A	1	1.66	A	1
1486_at	2463.87	A	0.27	2031.25	A	0.16
1487_at	1080.03	P	0.04	992.59	A	0.07
1488_at	822.16	P	0.01	977.14	P	0
1489_s_at	59.36	A	0.98	69.26	A	0.96
149_at	541.29	A	0.06	583.71	M	0.05
1490_at	187.62	A	0.3	31.26	A	0.85
1491_at	190.63	P	0	245.32	P	0
1492_f_at	294.89	A	0.32	335.51	A	0.19
1493_r_at	47.84	A	0.8	23.29	A	0.88
1494_f_at	591.18	M	0.04	617.88	P	0.02
1495_at	324.99	P	0.01	228.05	P	0.01
1496_at	337.32	P	0	328.5	P	0.02
1497_at	1237.37	P	0.02	1208.01	A	0.08
1498_at	620.09	A	0.12	505.7	P	0.04
1499_at	2354.62	P	0	1765.31	P	0
150_at	107.52	A	0.52	89.24	A	0.22
1500_at	34.85	A	0.52	198.86	P	0.01
1501_at	116.14	P	0.01	244.92	P	0.01
1503_at	91.11	A	0.25	117.75	A	0.14
1504_s_at	28.26	A	0.99	27.12	A	0.97
1505_at	896.88	P	0	383.74	P	0
1506_at	1345.89	P	0	1134.72	P	0.01
1507_s_at	446.5	P	0.01	1125.56	P	0
1508_at	267.18	A	0.32	74.83	A	0.62
1509_at	85.74	A	0.46	76.89	A	0.6
151_s_at	6757.63	P	0	6599.99	P	0
1510_g_at	45.42	A	0.8	122.08	A	0.34
1511_at	562.82	A	0.25	266.14	A	0.44
1512_at	699.99	P	0	786.53	P	0
1513_at	185.07	A	0.7	120.19	A	0.72
